filename,filepath,lat,lon,heading,pitch,location_id
51.497114_-0.174062_h45_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497114_-0.174062_h45_p20.jpg,51.497114,-0.174062,45,20,20
51.497114_-0.174062_h90_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497114_-0.174062_h90_p20.jpg,51.497114,-0.174062,90,20,20
51.497356_-0.178358_h0_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497356_-0.178358_h0_p20.jpg,51.497356,-0.178358,0,20,21
51.497356_-0.178358_h135_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497356_-0.178358_h135_p20.jpg,51.497356,-0.178358,135,20,21
51.497356_-0.178358_h180_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497356_-0.178358_h180_p20.jpg,51.497356,-0.178358,180,20,21
51.497356_-0.178358_h225_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497356_-0.178358_h225_p20.jpg,51.497356,-0.178358,225,20,21
51.497356_-0.178358_h270_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497356_-0.178358_h270_p20.jpg,51.497356,-0.178358,270,20,21
51.497356_-0.178358_h315_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497356_-0.178358_h315_p20.jpg,51.497356,-0.178358,315,20,21
51.497356_-0.178358_h45_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497356_-0.178358_h45_p20.jpg,51.497356,-0.178358,45,20,21
51.497356_-0.178358_h90_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497356_-0.178358_h90_p20.jpg,51.497356,-0.178358,90,20,21
51.497409_-0.176376_h0_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497409_-0.176376_h0_p20.jpg,51.497409,-0.176376,0,20,22
51.497409_-0.176376_h135_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497409_-0.176376_h135_p20.jpg,51.497409,-0.176376,135,20,22
51.497409_-0.176376_h180_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497409_-0.176376_h180_p20.jpg,51.497409,-0.176376,180,20,22
51.497409_-0.176376_h225_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497409_-0.176376_h225_p20.jpg,51.497409,-0.176376,225,20,22
51.497409_-0.176376_h270_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497409_-0.176376_h270_p20.jpg,51.497409,-0.176376,270,20,22
51.497409_-0.176376_h315_p20.jpg,/Users/dingyu_xuan/Desktop/Project_IC_CSU/3D_city_model/IC_campus_streetview/51.497409_-0.176376_h315_p20.jpg,51.497409,-0.176376,315,20,22
